user_registration_id,payment_detail_id,plan_id,start_date,end_date,payment_method_code,payment_method_value,payment_method_expiry,payment_frequency_code,cost_amount
30,30,1,2024-01-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,676352429069,25-Dec,MONTHLY,1.99
31,31,1,2024-10-06T00:00:00.000-06:00,2024-12-05T00:00:00.000-06:00,PAYPAL,zroberts@example.net,25-Feb,MONTHLY,1.99
32,32,3,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Dec,ONETIME,14.99
33,33,3,2024-06-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Jan,ONETIME,14.99
34,34,3,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,27-Mar,ONETIME,14.99
35,35,3,2024-09-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4893297476407451,26-Jul,ONETIME,14.99
36,36,1,2024-12-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,dyoung@example.net,27-Mar,MONTHLY,1.99
37,37,3,2024-06-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Dec,ONETIME,14.99
38,38,2,2024-04-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,3555440774394341,25-Feb,ANNUALLY,9.99
39,39,3,2024-01-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,27-Jan,ONETIME,14.99
40,40,1,2024-01-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Sep,MONTHLY,1.99
41,41,1,2024-07-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,27-Feb,MONTHLY,1.99
42,42,1,2024-08-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Nov,MONTHLY,1.99
43,43,1,2024-08-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,fwarren@example.net,26-May,MONTHLY,1.99
44,44,1,2024-08-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Dec,MONTHLY,1.99
45,45,2,2024-01-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,30460491259727,26-Jun,ANNUALLY,9.99
46,46,2,2024-09-23T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Mar,ANNUALLY,9.99
47,47,3,2024-11-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-May,ONETIME,14.99
48,48,3,2024-07-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Dec,ONETIME,14.99
49,49,1,2024-05-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,27-Jan,MONTHLY,1.99
50,50,2,2024-04-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Jul,ANNUALLY,9.99
51,51,2,2024-07-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Mar,ANNUALLY,9.99
52,52,2,2024-06-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,showard@example.org,25-Oct,ANNUALLY,9.99
53,53,2,2024-05-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,mbowman@example.org,26-Nov,ANNUALLY,9.99
54,54,3,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Jan,ONETIME,14.99
55,55,1,2024-03-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Mar,MONTHLY,1.99
56,56,1,2024-11-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Nov,MONTHLY,1.99
57,57,1,2024-06-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Apr,MONTHLY,1.99
58,58,3,2024-05-28T00:00:00.000-06:00,2024-11-17T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Dec,ONETIME,14.99
59,59,2,2024-07-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Aug,ANNUALLY,9.99
60,60,1,2024-03-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Mar,MONTHLY,1.99
61,61,1,2024-06-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Mar,MONTHLY,1.99
62,62,2,2024-01-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,kbrooks@example.net,26-Oct,ANNUALLY,9.99
63,63,2,2024-11-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4362469914374575,25-Sep,ANNUALLY,9.99
64,64,2,2024-02-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Oct,ANNUALLY,9.99
65,65,3,2024-01-07T00:00:00.000-06:00,2024-12-06T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Jan,ONETIME,14.99
66,66,1,2024-09-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Dec,MONTHLY,1.99
67,67,3,2024-01-07T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Sep,ONETIME,14.99
68,68,1,2024-09-26T00:00:00.000-06:00,2024-11-04T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Jan,MONTHLY,1.99
69,69,1,2024-05-27T00:00:00.000-06:00,2024-07-03T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Jul,MONTHLY,1.99
70,70,3,2024-09-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Dec,ONETIME,14.99
71,71,1,2024-11-26T00:00:00.000-06:00,2024-12-05T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Jul,MONTHLY,1.99
72,72,3,2024-08-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Nov,ONETIME,14.99
73,73,3,2024-02-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Jul,ONETIME,14.99
74,74,1,2024-11-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,ksullivan@example.org,25-Apr,MONTHLY,1.99
75,75,1,2024-04-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Nov,MONTHLY,1.99
76,76,2,2024-05-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,acunningham@example.net,25-Sep,ANNUALLY,9.99
77,77,1,2024-07-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Oct,MONTHLY,1.99
78,78,1,2024-03-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,3521067634826245,27-Mar,MONTHLY,1.99
79,79,1,2024-06-02T00:00:00.000-06:00,2024-09-06T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Feb,MONTHLY,1.99
80,80,3,2024-09-27T00:00:00.000-06:00,2024-10-21T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Jun,ONETIME,14.99
81,81,3,2024-10-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Dec,ONETIME,14.99
82,82,3,2024-11-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Apr,ONETIME,14.99
83,83,3,2024-05-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,560613784704,26-Dec,ONETIME,14.99
84,84,2,2024-11-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,llopez@example.org,26-Jun,ANNUALLY,9.99
85,85,2,2024-01-20T00:00:00.000-06:00,2024-09-09T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Dec,ANNUALLY,9.99
86,86,1,2024-08-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Feb,MONTHLY,1.99
87,87,2,2024-09-01T00:00:00.000-06:00,2024-10-25T00:00:00.000-06:00,CREDIT_CARD,2253465037887689,26-Aug,ANNUALLY,9.99
88,88,2,2024-07-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4939739119183920,25-Sep,ANNUALLY,9.99
89,89,1,2024-02-26T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jhooper@example.net,26-Jul,MONTHLY,1.99
90,90,3,2024-08-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,aschultz@example.org,27-Jan,ONETIME,14.99
91,91,3,2024-10-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jenglish@example.org,26-Sep,ONETIME,14.99
92,92,2,2024-02-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jbecker@example.net,26-Sep,ANNUALLY,9.99
93,93,1,2024-01-31T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,tsims@example.net,25-Oct,MONTHLY,1.99
94,94,2,2024-04-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,croy@example.org,26-Sep,ANNUALLY,9.99
95,95,2,2024-11-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Jun,ANNUALLY,9.99
96,96,3,2024-02-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Apr,ONETIME,14.99
97,97,2,2024-03-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Feb,ANNUALLY,9.99
98,98,3,2024-08-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Aug,ONETIME,14.99
99,99,3,2024-03-11T00:00:00.000-06:00,2024-05-27T00:00:00.000-06:00,PAYPAL,hclark@example.org,25-Mar,ONETIME,14.99
100,100,1,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Jan,MONTHLY,1.99
101,101,2,2024-04-21T00:00:00.000-06:00,2024-10-19T00:00:00.000-06:00,CREDIT_CARD,4312801308917398,25-Nov,ANNUALLY,9.99
102,102,2,2024-06-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Oct,ANNUALLY,9.99
103,103,3,2024-05-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Oct,ONETIME,14.99
104,104,3,2024-08-14T00:00:00.000-06:00,2024-08-25T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,27-Mar,ONETIME,14.99
105,105,1,2024-12-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Sep,MONTHLY,1.99
106,106,3,2024-03-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,6520248142029001,26-Jan,ONETIME,14.99
107,107,2,2024-01-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-May,ANNUALLY,9.99
108,108,1,2024-10-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,hglass@example.net,26-Jul,MONTHLY,1.99
109,109,1,2024-09-07T00:00:00.000-06:00,2024-09-17T00:00:00.000-06:00,PAYPAL,jmaynard@example.net,25-Mar,MONTHLY,1.99
110,110,2,2024-11-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,mramos@example.com,26-Mar,ANNUALLY,9.99
111,111,2,2024-10-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Sep,ANNUALLY,9.99
112,112,1,2024-06-10T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Aug,MONTHLY,1.99
113,113,2,2024-06-04T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Oct,ANNUALLY,9.99
114,114,2,2024-09-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-May,ANNUALLY,9.99
115,115,2,2024-02-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Oct,ANNUALLY,9.99
116,116,3,2024-04-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,27-Mar,ONETIME,14.99
117,117,3,2024-05-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Feb,ONETIME,14.99
118,118,3,2024-02-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,27-Jan,ONETIME,14.99
119,119,3,2024-09-14T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,27-Feb,ONETIME,14.99
120,120,1,2024-07-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,jduncan@example.org,26-Jun,MONTHLY,1.99
121,121,2,2024-04-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,4404137369480664,26-Mar,ANNUALLY,9.99
122,122,2,2024-03-30T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Jun,ANNUALLY,9.99
123,123,1,2024-03-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Aug,MONTHLY,1.99
124,124,3,2024-01-09T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Jan,ONETIME,14.99
125,125,3,2024-04-08T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,gchase@example.com,25-Feb,ONETIME,14.99
126,126,1,2024-07-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Apr,MONTHLY,1.99
127,127,3,2024-11-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Oct,ONETIME,14.99
128,128,3,2024-10-29T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Aug,ONETIME,14.99
129,129,3,2024-03-27T00:00:00.000-06:00,2024-11-05T00:00:00.000-06:00,PAYPAL,dwade@example.net,25-Aug,ONETIME,14.99
130,130,1,2024-07-17T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Apr,MONTHLY,1.99
131,131,1,2024-06-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Sep,MONTHLY,1.99
132,132,2,2024-02-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,27-Feb,ANNUALLY,9.99
133,133,2,2024-10-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Oct,ANNUALLY,9.99
134,134,3,2024-01-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Feb,ONETIME,14.99
135,135,1,2024-04-02T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Dec,MONTHLY,1.99
136,136,1,2024-05-15T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,6011989042573467,26-Sep,MONTHLY,1.99
137,137,1,2024-05-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Feb,MONTHLY,1.99
138,138,1,2024-09-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Nov,MONTHLY,1.99
139,139,2,2024-05-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Jun,ANNUALLY,9.99
140,140,1,2024-08-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Oct,MONTHLY,1.99
141,141,2,2024-03-20T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Mar,ANNUALLY,9.99
142,142,2,2024-05-11T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Apr,ANNUALLY,9.99
143,143,3,2024-03-22T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Jul,ONETIME,14.99
144,144,1,2024-08-28T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,bbarnes@example.net,26-Aug,MONTHLY,1.99
145,145,2,2024-09-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Jun,ANNUALLY,9.99
146,146,1,2024-07-06T00:00:00.000-06:00,2024-11-19T00:00:00.000-06:00,PAYPAL,gpatterson@example.org,26-Nov,MONTHLY,1.99
147,147,1,2024-08-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,25-Nov,MONTHLY,1.99
148,148,2,2024-11-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Nov,ANNUALLY,9.99
149,149,1,2024-11-18T00:00:00.000-06:00,2024-12-26T00:00:00.000-06:00,PAYPAL,mhammond@example.net,25-Jun,MONTHLY,1.99
150,150,1,2024-05-16T00:00:00.000-06:00,2024-07-16T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Mar,MONTHLY,1.99
151,151,1,2024-01-03T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,5436024679595366,26-Jul,MONTHLY,1.99
152,152,1,2024-02-05T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Dec,MONTHLY,1.99
153,153,2,2024-10-24T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,213117434161126,25-Jun,ANNUALLY,9.99
154,154,3,2024-12-15T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,dcordova@example.com,27-Feb,ONETIME,14.99
155,155,1,2024-12-19T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,27-Jan,MONTHLY,1.99
156,156,1,2024-09-14T00:00:00.000-06:00,2024-09-26T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,26-Dec,MONTHLY,1.99
157,157,2,2024-07-15T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-May,ANNUALLY,9.99
158,158,3,2024-10-15T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,ldeleon@example.com,26-Jul,ONETIME,14.99
159,159,1,2024-06-12T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Mar,MONTHLY,1.99
160,160,3,2024-02-21T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,SamsungPay,26-Dec,ONETIME,14.99
161,161,1,2024-07-01T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,CREDIT_CARD,2238142979970316,26-Sep,MONTHLY,1.99
162,162,1,2024-04-06T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,27-Jan,MONTHLY,1.99
163,163,2,2024-03-16T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,PAYPAL,ccross@example.org,26-Sep,ANNUALLY,9.99
164,164,3,2024-06-13T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,26-Aug,ONETIME,14.99
165,165,1,2024-02-25T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Jan,MONTHLY,1.99
166,166,2,2024-01-27T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,GooglePay,25-Oct,ANNUALLY,9.99
167,167,2,2024-11-15T00:00:00.000-06:00,9999-01-01T00:00:00.000-06:00,MOBILE_PHONE_PLATFORM,ApplePay,25-Mar,ANNUALLY,9.99
